Chore,Frequency,Day
Do the dishes,Daily,
Clean counters,Daily,
Trash/Recycling,Daily,
,,
Clean kitchen appliances,Weekly,Monday
Clean microwave,Weekly,Monday
Kitchen windows,Weekly,Monday
,,
Change couch cover,Weekly,Tuesday
Water plants,Weekly,Tuesday
,,
Clean guest bathroom,Weekly,Wednesday
,,
Clean Mango's tank,Weekly,Thursday
Clean Amethyst's tank,Weekly,Thursday
Dust,Weekly,Thursday
,,
Clean master bath,Weekly,Friday
,,
Vacuum,Weekly,Saturday
Mop,Weekly,Saturday
,,
Laundry,Weekly,Sunday
Mow the lawn,Weekly,Sunday
Clean chicken coop,Weekly,Sunday
,,
Wash the cars,Monthly,Sunday 1
Clean windows,Monthly,Sunday 2
Chore 3,Monthly,Sunday 3
Chore 4,Monthly,Sunday 4
